date,portfolio_value,cash,positions_value
336,100749.23105634304,79855.92434782669,20893.30670851635
337,100723.17190637643,79855.92434782669,20867.247558549745
338,100626.59976238255,79855.92434782669,20770.675414555866
339,100473.31064493195,79855.92434782669,20617.38629710526
340,100405.86343325369,79855.92434782669,20549.939085427002
341,100473.31064493195,79855.92434782669,20617.38629710526
342,100703.24432110785,79855.92434782669,20847.319973281163
343,100798.28357392721,79855.92434782669,20942.359226100525
344,100825.87561506833,79855.92434782669,20969.951267241646
345,100756.89551221556,79855.92434782669,20900.971164388873
346,100732.36925342347,79855.92434782669,20876.444905596785
347,100747.69816516852,79855.92434782669,20891.773817341833
348,100841.20452681338,79855.92434782669,20985.280178986693
349,100810.54670332327,79855.92434782669,20954.622355496584
350,100792.15200922919,79855.92434782669,20936.227661402503
351,100603.60639476497,79855.92434782669,20747.68204693828
352,100655.72469469816,79855.92434782669,20799.800346871474
353,100372.13982741456,79855.92434782669,20516.215479587874
354,100243.37696875606,79855.92434782669,20387.45262092937
355,100281.18113090172,100281.18113090172,0.0
356,100281.18113090172,100281.18113090172,0.0
357,100281.18113090172,100281.18113090172,0.0
358,100281.18113090172,100281.18113090172,0.0
359,100281.18113090172,100281.18113090172,0.0
360,100281.18113090172,100281.18113090172,0.0
361,100281.18113090172,100281.18113090172,0.0
362,100281.18113090172,100281.18113090172,0.0
363,100281.18113090172,100281.18113090172,0.0
364,100281.18113090172,100281.18113090172,0.0
365,100281.18113090172,100281.18113090172,0.0
366,100281.18113090172,100281.18113090172,0.0
367,100281.18113090172,100281.18113090172,0.0
368,100281.18113090172,100281.18113090172,0.0
369,100281.18113090172,100281.18113090172,0.0
370,100281.18113090172,100281.18113090172,0.0
371,100281.18113090172,100281.18113090172,0.0
372,100281.18113090172,100281.18113090172,0.0
373,100281.18113090172,100281.18113090172,0.0
374,100281.18113090172,100281.18113090172,0.0
375,100281.18113090172,100281.18113090172,0.0
376,100281.18113090172,100281.18113090172,0.0
377,100281.18113090172,100281.18113090172,0.0
378,100281.18113090172,100281.18113090172,0.0
379,100281.18113090172,100281.18113090172,0.0
380,100281.18113090172,100281.18113090172,0.0
381,100281.18113090172,100281.18113090172,0.0
382,100261.12489467555,80204.8886684952,20056.23622618035
383,100847.18871359879,80204.8886684952,20642.30004510359
384,100818.11505156345,80204.8886684952,20613.22638306825
385,100790.57158226678,80204.8886684952,20585.682913771583
386,100831.88678621178,80204.8886684952,20626.998117716576
387,100767.61869118625,80204.8886684952,20562.730022691045
388,100770.67907666365,80204.8886684952,20565.790408168454
389,100704.88078889942,80204.8886684952,20499.99212040422
390,100724.77329450256,80204.8886684952,20519.884626007362
391,100698.76001794462,80204.8886684952,20493.871349449415
392,100703.35059616072,80204.8886684952,20498.461927665514
393,100372.82896460086,80204.8886684952,20167.940296105662
394,100464.64052892305,80204.8886684952,20259.751860427845
395,100594.7069117128,80204.8886684952,20389.818243217596
396,100561.04267146134,80204.8886684952,20356.15400296614
397,100908.39642314691,80204.8886684952,20703.507754651713
398,100911.45680862432,80204.8886684952,20706.568140129122
399,100958.89278352412,80204.8886684952,20754.004115028918
400,100816.58485882473,80204.8886684952,20611.69619032953
401,100838.00755716658,80204.8886684952,20633.11888867138
402,100848.7189063375,80204.8886684952,20643.830237842296
403,100556.45209324523,80204.8886684952,20351.563424750027
404,100479.94245631008,80204.8886684952,20275.053787814875
405,100464.64052892305,80204.8886684952,20259.751860427845
406,100499.41262871734,100499.41262871734,0.0
407,100499.41262871734,100499.41262871734,0.0
408,100499.41262871734,100499.41262871734,0.0
409,100499.41262871734,100499.41262871734,0.0
410,100499.41262871734,100499.41262871734,0.0
411,100499.41262871734,100499.41262871734,0.0
412,100499.41262871734,100499.41262871734,0.0
413,100499.41262871734,100499.41262871734,0.0
414,100499.41262871734,100499.41262871734,0.0
415,100499.41262871734,100499.41262871734,0.0
416,100499.41262871734,100499.41262871734,0.0
417,100479.31274619159,80379.43022044812,20099.882525743466
418,100528.51869006024,80379.43022044812,20149.08846961212
419,100106.54044415629,80379.43022044812,19727.110223708165
420,100300.38204121465,80379.43022044812,19920.951820766524
421,100374.9365016217,80379.43022044812,19995.506281173584
422,100449.49096202877,80379.43022044812,20070.060741580644
423,100434.58006994735,80379.43022044812,20055.149849499227
424,100272.05134625996,80379.43022044812,19892.621125811842
425,100291.4355059658,80379.43022044812,19912.005285517676
426,100272.05134625996,80379.43022044812,19892.621125811842
427,100351.07907429145,80379.43022044812,19971.648853843333
428,100427.12462390665,80379.43022044812,20047.694403458532
429,100360.02560954029,80379.43022044812,19980.595389092166
430,100416.68699944965,80379.43022044812,20037.25677900153
431,100479.31274619159,80379.43022044812,20099.882525743466
432,100479.31274619159,80379.43022044812,20099.882525743466
433,100568.77809868006,80379.43022044812,20189.347878231943
434,100741.74444682444,80379.43022044812,20362.314226376315
435,100688.06523533136,80379.43022044812,20308.635014883243
436,100694.02959216392,80379.43022044812,20314.599371715798
437,100725.3424655349,80379.43022044812,20345.912245086773
438,100598.59988284289,80379.43022044812,20219.169662394765
439,100671.6632540418,80379.43022044812,20292.233033593686
440,100758.14642811399,80379.43022044812,20378.71620766587
441,100765.6018741547,80379.43022044812,20386.17165370658
442,100883.39792159785,80379.43022044812,20503.967701149726
443,101016.10486112243,80379.43022044812,20636.674640674304
444,101057.85535895037,80379.43022044812,20678.42513850225
445,101105.57021361089,80379.43022044812,20726.139993162767
446,101083.20387548878,80379.43022044812,20703.773655040655
447,101077.23951865622,80379.43022044812,20697.8092982081
448,101023.56030716313,80379.43022044812,20644.130086715013
449,101120.4811056923,80379.43022044812,20741.050885244185
450,101033.99793162012,80379.43022044812,20654.567711172
451,100916.20188417696,80379.43022044812,20536.77166372884
452,100849.10286981061,80379.43022044812,20469.67264936249
453,100852.08504822689,80379.43022044812,20472.654827778766
454,101080.2216970725,80379.43022044812,20700.791476624378
455,101047.41773449339,80379.43022044812,20667.987514045264
456,100926.63950863395,80379.43022044812,20547.209288185826
457,100874.45138634901,80379.43022044812,20495.021165900893
458,100743.23553603259,80379.43022044812,20363.80531558447
459,100665.69889720924,80379.43022044812,20286.268676761116
460,100712.44454388447,100712.44454388447,0.0
461,100712.44454388447,100712.44454388447,0.0
462,100712.44454388447,100712.44454388447,0.0
463,100712.44454388447,100712.44454388447,0.0
464,100712.44454388447,100712.44454388447,0.0
465,100712.44454388447,100712.44454388447,0.0
466,100712.44454388447,100712.44454388447,0.0
467,100712.44454388447,100712.44454388447,0.0
468,100712.44454388447,100712.44454388447,0.0
469,100712.44454388447,100712.44454388447,0.0
470,100712.44454388447,100712.44454388447,0.0
471,100712.44454388447,100712.44454388447,0.0
472,100712.44454388447,100712.44454388447,0.0
473,100712.44454388447,100712.44454388447,0.0
474,100712.44454388447,100712.44454388447,0.0
475,100712.44454388447,100712.44454388447,0.0
476,100712.44454388447,100712.44454388447,0.0
477,100712.44454388447,100712.44454388447,0.0
478,100712.44454388447,100712.44454388447,0.0
479,100712.44454388447,100712.44454388447,0.0
480,100712.44454388447,100712.44454388447,0.0
481,100712.44454388447,100712.44454388447,0.0
482,100692.30205497569,80549.8131461988,20142.488908776897
483,101020.78658531135,80549.8131461988,20470.973439112553
484,101110.51152646785,80549.8131461988,20560.698380269052
485,101475.49433795191,80549.8131461988,20925.681191753116
486,101522.63795110193,80549.8131461988,20972.82480490314
487,101840.47714943599,80549.8131461988,21290.664003237194
488,101778.12591914079,80549.8131461988,21228.312772941994
489,101626.0497476891,80549.8131461988,21076.23660149031
490,101524.15871281645,80549.8131461988,20974.34556661766
491,101992.55332088767,80549.8131461988,21442.74017468888
492,102054.90455118287,80549.8131461988,21505.09140498408
493,101953.01351631024,80549.8131461988,21403.200370111444
494,101931.722852307,80549.8131461988,21381.9097061082
495,102082.27826204419,80549.8131461988,21532.465115845393
496,102053.38378946835,80549.8131461988,21503.57064326956
497,102168.96167977164,80549.8131461988,21619.14853357285
498,102175.04472662971,80549.8131461988,21625.23158043092
499,102130.94263690872,80549.8131461988,21581.12949070992
