date,total_value,cash,positions_value
2025-04-05 07:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-05 11:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-05 15:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-05 19:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-05 23:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-06 03:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-06 07:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-06 11:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-06 15:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-06 19:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-06 23:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-07 03:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-07 07:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-07 11:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-07 15:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-07 19:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-07 23:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-08 03:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-08 07:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-08 11:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-08 15:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-08 19:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-08 23:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-09 03:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-09 07:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-09 11:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-09 15:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-09 19:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-09 23:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-10 03:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-10 07:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-10 11:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-10 15:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-10 19:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-10 23:00:00,97514.53472469114,78007.7264180916,19506.808306599545
2025-04-11 03:00:00,97504.48522805149,78007.7264180916,19496.758809959894
2025-04-11 07:00:00,97805.47990789296,78007.7264180916,19797.75348980137
